code,name,market,market_cap,naver_group,best_sector,best_corr,2nd_sector,2nd_corr,3rd_sector,3rd_corr
045390,대아티아이,KOSDAQ,2942,IT서비스,방산,0.7866,레저·여행,0.7053,미디어·콘텐츠,0.7003
122350,삼기,KOSDAQ,513,자동차부품,자동차_완성차,0.7865,2차전지_소재부품,0.6965,자동차_부품,0.6733
474610,RF시스템즈,KOSDAQ,1633,우주항공과국방,우주·위성,0.7864,건설,0.7506,시멘트,0.6591
037030,파워넷,KOSDAQ,2329,전기제품,건설,0.786,해운,0.6673,석유화학,0.6496
096350,대창솔루션,KOSDAQ,972,조선,원전,0.7857,신재생에너지,0.737,증권,0.6292
089890,코세스,KOSDAQ,6716,반도체와반도체장비,2차전지_셀,0.7855,반도체_대형,0.7367,반도체_소재부품,0.6925
000860,강남제비스코,KOSPI,1981,건축자재,자동차_완성차,0.7854,비철금속,0.6919,자동차_부품,0.6726
144510,지씨셀,KOSDAQ,3649,건강관리업체및서비스,중소제약,0.7853,바이오_임상단계,0.7833,2차전지_셀,0.7406
036220,오상헬스케어,KOSDAQ,1289,생명과학도구및서비스,방산,0.785,보험,0.7118,미용·에스테틱,0.7065
032850,비트컴퓨터,KOSDAQ,803,건강관리기술,신재생에너지,0.7848,유통,0.699,해운,0.6879
008260,NI스틸,KOSPI,1056,건축자재,증권,0.7846,은행,0.7379,건자재,0.7281
297090,씨에스베어링,KOSDAQ,1859,기계,신재생에너지,0.7845,보험,0.6313,방산,0.5649
072470,우리산업홀딩스,KOSDAQ,727,자동차부품,핀테크·결제,0.7844,AI_인프라,0.7761,증권,0.7669
095910,에스에너지,KOSDAQ,757,에너지장비및서비스,신재생에너지,0.7843,건설,0.706,해운,0.6604
096760,JW홀딩스,KOSPI,2908,제약,내수식품,0.7843,물류·육운,0.7176,패션·의류,0.7151
049800,우진플라임,KOSPI,506,기계,디스플레이,0.7841,시멘트,0.7723,건자재,0.7664
002700,신일전자,KOSPI,1003,가정용기기와용품,철강,0.7839,유통,0.695,패션·의류,0.6108
126730,코칩,KOSDAQ,1615,전기제품,반도체_중소형,0.7838,반도체_소재부품,0.7265,디스플레이,0.7233
310200,애니플러스,KOSDAQ,1374,방송과엔터테인먼트,방산,0.7831,화장품_ODM,0.7145,보험,0.7102
053260,금강철강,KOSDAQ,1053,철강,건설,0.7824,석유화학,0.7478,해운,0.7064
459100,위츠,KOSDAQ,902,핸드셋,2차전지_셀,0.7822,타이어,0.5741,바이오_임상단계,0.5695
211270,AP위성,KOSDAQ,2518,통신장비,우주·위성,0.781,자동차_완성차,0.6183,로봇,0.6171
122990,와이솔,KOSDAQ,1995,핸드셋,철강,0.7809,유통,0.7653,우주·위성,0.6956
067900,와이엔텍,KOSDAQ,1304,해운사,패션·의류,0.7809,내수식품,0.7785,유통,0.7638
298830,슈어소프트테크,KOSDAQ,4303,소프트웨어,자동차_부품,0.78,로봇,0.6847,자동차_완성차,0.6445
084680,이월드,KOSPI,2538,"섬유,의류,신발,호화품",건자재,0.7797,증권,0.7646,원전,0.7521
001780,알루코,KOSPI,2657,비철금속,철강,0.7796,석유화학,0.7497,건설,0.7436
017900,광전자,KOSPI,6553,전자장비와기기,건설,0.7792,해운,0.5479,석유화학,0.5362
460470,아이빔테크놀로지,KOSDAQ,615,생명과학도구및서비스,반도체_장비,0.7789,반도체_소재부품,0.7201,반도체_중소형,0.7099
000320,노루홀딩스,KOSPI,2698,건축자재,레저·여행,0.7787,생활용품,0.7317,게임,0.7141
365270,큐라클,KOSDAQ,3398,제약,우주·위성,0.7787,반도체_장비,0.7268,시멘트,0.7214
290550,디케이티,KOSDAQ,6580,핸드셋,건설,0.7786,전력기기,0.7308,디스플레이,0.7151
474170,루미르,KOSDAQ,2489,우주항공과국방,자동차_완성차,0.7784,반도체_중소형,0.7688,우주·위성,0.7508
212560,네오오토,KOSDAQ,1494,자동차부품,자동차_부품,0.7783,자동차_완성차,0.6933,로봇,0.6352
104460,디와이피엔에프,KOSDAQ,1382,기계,방산,0.7779,보험,0.6613,미용·에스테틱,0.6483
011760,현대코퍼레이션,KOSPI,3677,무역회사와판매업체,철강,0.7778,내수식품,0.6467,중국내수식품,0.641
